,name,sex,year_count,year_min,year_max,pct_sum,pct_max
0,James,M,74,1940,2013,200.94312146534259,5.646916867648505
1,Mary,F,74,1940,2013,117.51702691365853,4.915246825035861
2,John,M,74,1940,2013,188.80245665947766,4.913733199062083
3,Michael,M,74,1940,2013,224.92546778771091,4.762287887244936
4,David,M,74,1940,2013,176.6596349794234,4.187809242055073
5,Jason,M,74,1940,2013,57.36049106889858,3.482094952818554
6,Lisa,F,74,1940,2013,55.182505058835766,3.4144387420351667
7,Jessica,F,74,1940,2013,60.07476441559752,3.2215779258182553
8,Deborah,F,74,1940,2013,39.65538734126312,2.81603095069242
9,Matthew,M,74,1940,2013,81.88527351291053,2.8020570000909832
10,Debra,F,74,1940,2013,29.07482255562158,2.58519473117955
11,Susan,F,74,1940,2013,60.610523254426134,2.4288897850251514
12,Joshua,M,74,1940,2013,61.85249482280053,2.284125156890116
13,Daniel,M,74,1940,2013,92.86433753730422,2.086110608749893
14,Michelle,F,74,1940,2013,47.293726284335335,2.0344505027440185
15,Judith,F,74,1940,2013,24.952118655018847,1.9575446943987687
16,Betty,F,74,1940,2013,22.69095408551518,1.9307805338837771
17,Jacob,M,74,1940,2013,43.12635110345075,1.8845797638948294
18,Nancy,F,74,1940,2013,45.990595275582486,1.829877831382938
19,Sharon,F,74,1940,2013,40.44610822145308,1.7710628671046953
20,Joseph,M,74,1940,2013,102.00615404834329,1.7179670323226648
21,Sarah,F,74,1940,2013,51.37779691679084,1.6891565672528894
22,Jerry,M,74,1940,2013,28.902250528970377,1.368552131460492
23,Samantha,F,74,1940,2013,30.897378225799482,1.3681711481007255
24,Adam,M,74,1940,2013,27.900072361244487,1.3269836834179436
25,Jeremy,M,74,1940,2013,23.64403650314201,1.3149721131972385
26,Jonathan,M,74,1940,2013,42.792716191893604,1.3059646941739214
27,Judy,F,74,1940,2013,21.646078815753313,1.3034434737446425
28,Zachary,M,74,1940,2013,26.662199001345424,1.3026525955359343
29,Isabella,F,74,1940,2013,13.801340560141131,1.290857106091613
30,Hannah,F,74,1940,2013,21.39605460903046,1.2714979658016594
31,Tammy,F,74,1940,2013,19.07859996528734,1.2226195593521068
32,Elizabeth,F,74,1940,2013,65.83095124757675,1.2114315559486524
33,Ethan,M,74,1940,2013,18.19111182636193,1.1395219709713957
34,Rebecca,F,74,1940,2013,40.36123257076123,1.033810439918031
35,Kayla,F,74,1940,2013,18.10240874038355,0.9891698676909944
36,Danielle,F,74,1940,2013,21.00988109579361,0.978298585636084
37,Janet,F,74,1940,2013,25.834021562673975,0.9670953597045328
38,Noah,M,74,1940,2013,15.018610898351156,0.96662137243136
39,Debbie,F,74,1940,2013,9.822969546559836,0.9657045377139357
40,Rachel,F,74,1940,2013,29.50454652484326,0.9513222111235277
41,Janice,F,74,1940,2013,20.084956618804835,0.8934242902951094
42,Erin,F,74,1940,2013,18.08763712267805,0.8884755670716116
43,Abigail,F,74,1940,2013,17.141379009889935,0.8720788481568108
44,Jamie,F,74,1940,2013,15.514382334865767,0.8558541955898835
45,Aaron,M,74,1940,2013,28.539408014398617,0.8200314632066447
46,Benjamin,M,74,1940,2013,32.811428269237034,0.8009882373176862
47,Jordan,M,74,1940,2013,17.739176722207663,0.793054594739941
48,Ruth,F,74,1940,2013,13.896413213558397,0.7772102298569079
49,Samuel,M,74,1940,2013,30.574786181373323,0.7614711368901624
50,Marilyn,F,74,1940,2013,14.17162192854975,0.7609418185634818
51,Nathan,M,74,1940,2013,25.960672915591783,0.7374722773271031
52,Elijah,M,74,1940,2013,11.212687404188362,0.7357543080663917
53,Shawn,M,74,1940,2013,16.564675627991242,0.7338939993599352
54,Jean,F,74,1940,2013,12.576102232640023,0.7052268831123395
55,Michele,F,74,1940,2013,12.863795555421051,0.6838669946984455
56,Sara,F,74,1940,2013,20.507303776912945,0.6807845545692213
57,Gabriel,M,74,1940,2013,15.22280630504181,0.6716451070748047
58,Jose,M,74,1940,2013,26.899973519271594,0.6628436855078149
59,Sean,M,74,1940,2013,22.13591006414454,0.6399508691646942
60,Ann,F,74,1940,2013,17.54573954529665,0.6291327012559913
61,Joe,M,74,1940,2013,14.300435634938811,0.6230427440114116
62,Addison,F,32,1980,2013,4.97143072063512,0.6223343138455446
63,Jack,M,74,1940,2013,20.452830499381857,0.6078549984510225
64,Caleb,M,74,1940,2013,12.474440676995219,0.6008744772959154
65,Anna,F,74,1940,2013,23.670570952908733,0.5874639158294509
66,Jane,F,74,1940,2013,13.614744879197552,0.5845223977659615
67,Jesse,M,74,1940,2013,18.11070622944223,0.5833593479063341
68,Mike,M,74,1940,2013,9.364208440668707,0.5649937381814328
69,Gail,F,74,1940,2013,10.498950941047605,0.5492735056505116
70,Maria,F,74,1940,2013,27.041997030358203,0.5382362919976215
71,Jaime,F,69,1945,2013,3.028845202499366,0.5348491487871702
72,Isaac,M,74,1940,2013,11.170426148699498,0.5346073427957853
73,Evan,M,74,1940,2013,12.169566977235563,0.5192102222702926
74,Marie,F,74,1940,2013,11.63781247824067,0.5091493728355977
75,Isaiah,M,74,1940,2013,8.918013961918243,0.508513148488276
76,Sherry,F,74,1940,2013,12.814768666945803,0.4703839713483493
77,Owen,M,74,1940,2013,6.396516844817933,0.4649828182917465
78,Jimmy,M,74,1940,2013,13.543071964757399,0.46415428359210203
79,Danny,M,74,1940,2013,14.590865830374627,0.4564016471261341
80,Evelyn,F,74,1940,2013,12.487652033481531,0.4385505260187835
