,name,sex,year_count,year_min,year_max,pct_sum,pct_max
0,Doris,F,134,1880,2013,41.51352154997765,1.4777976533311359
1,Sophia,F,134,1880,2013,18.49133196417274,1.2697888993792905
2,Chloe,F,134,1880,2013,10.271245352031912,0.662303608778641
3,Diana,F,134,1880,2013,21.019023273438716,0.4800954207947575
4,Flora,F,134,1880,2013,12.321405187488947,0.4011297572340729
5,Seth,M,134,1880,2013,8.829214821573427,0.3422095474170441
6,Khloe,F,25,1989,2013,1.4301331775518256,0.30448470126636284
7,Delia,F,134,1880,2013,4.716709484786861,0.14422820106479584
8,Luna,F,121,1880,2013,1.0663619452458466,0.09933031215630272
9,Griffin,M,125,1881,2013,1.782372466628157,0.08733568913582183
10,Minerva,F,134,1880,2013,2.0933170407928365,0.06923609508423724
11,Phoebe,F,134,1880,2013,2.822653843656462,0.06046192913861905
12,Vesta,F,127,1880,2012,1.4812315595308794,0.044858739828280744
13,Sol,M,134,1880,2013,1.232883187894239,0.0425326018246096
14,Phoenix,M,30,1968,2013,0.4674499198300886,0.04186601602991459
15,Thalia,F,112,1885,2013,0.6961091871079087,0.03871092615890835
16,Phoenix,F,40,1970,2013,0.3236025068240914,0.03547099842798984
17,Isis,F,51,1901,2013,0.5785030779070945,0.03040426288360316
18,Rhea,F,132,1882,2013,1.4427196355135041,0.02630256403030431
19,Odin,M,70,1884,2013,0.1811262024370389,0.023885005720111548
20,Eris,F,74,1913,2013,0.10528399657416493,0.018735052371103254
21,Venus,F,127,1887,2013,0.6109039679864637,0.015362247277315996
22,Ares,M,19,1983,2013,0.059744066303194975,0.012182955937775018
23,Doris,M,84,1892,1989,0.3570107434709952,0.011784498880951651
24,Apollo,M,45,1965,2013,0.09261411211874587,0.010900539523272385
25,Persephone,F,48,1962,2013,0.07710920170366592,0.00961632587252322
26,Flora,M,25,1880,1960,0.03465429026597897,0.00624390243902439
27,Gerda,F,79,1887,1972,0.16816857758689097,0.006007964844822851
28,Sol,F,57,1953,2013,0.09300905945927919,0.00598246122970055
29,Amon,M,114,1882,2013,0.20623951691361173,0.005916342911235136
30,Thor,M,103,1904,2013,0.22326749892263528,0.0056031292948514645
31,Lucina,F,105,1880,2013,0.09878918474777107,0.00549492818128867
32,Osiris,M,42,1970,2013,0.06757386686496311,0.005343401727094306
33,Rhea,M,46,1896,2004,0.041075032225212714,0.005032079506856209
34,Shai,F,44,1968,2013,0.06032269028650769,0.004977119077573931
35,Ran,M,15,1887,2013,0.009773325669161293,0.004930285759362613
36,Nanna,F,34,1882,1992,0.04154376088360898,0.004636068613815485
37,Loki,M,15,1996,2013,0.03079681801369704,0.004595325485301104
38,Zeus,M,33,1973,2013,0.04320960297265174,0.004541891468030161
39,Freyja,F,17,1994,2013,0.020269017642471004,0.004376292013842903
40,Melaina,F,47,1964,2013,0.05694964689725441,0.004253147329023477
41,Gaia,F,29,1980,2013,0.038318977541661366,0.004224067365883007
42,Pelagia,F,12,1886,1977,0.015957922177948485,0.004151243643408171
43,Sia,F,41,1968,2013,0.05006785497550478,0.003915629696596282
44,Hercules,M,92,1908,2013,0.08990786177454314,0.003887420307883688
45,Artemis,F,68,1915,2013,0.04504663133759452,0.003800464117284626
46,Juno,F,15,1919,2013,0.019627462455384277,0.0034813417205133207
47,Lousia,F,3,1886,1970,0.004364784568016142,0.0034593697028401428
48,Chloe,M,18,1989,2013,0.01409050980739161,0.0033794297641006705
49,Shai,M,38,1971,2013,0.04698851948556192,0.002914722634994054
50,Osiris,F,35,1979,2013,0.039901895255896214,0.0028975016686975516
51,Lamia,F,42,1968,2013,0.0592786726807435,0.002726376492963768
52,Clio,F,50,1894,2013,0.04789959835927002,0.002709081858294701
53,Urania,F,31,1891,2002,0.01648821153718941,0.002695679365113596
54,Amen,M,30,1975,2013,0.02189024260432277,0.002457964794463381
55,Amen,F,14,1998,2013,0.011721920479927527,0.0023608943758889347
56,Andromeda,F,44,1962,2013,0.03465053048646555,0.0023033115862331065
57,Diana,M,70,1926,2008,0.07112164308012889,0.002300027600331204
58,Chloris,F,25,1897,1969,0.02273783819258556,0.0021349091809634417
59,Griffin,F,34,1979,2013,0.027102586576081285,0.002126853596020829
60,Sophia,M,32,1917,2013,0.018865812245335678,0.002017570008418311
61,Seth,F,38,1967,2011,0.028214654203450828,0.0019791992159972076
62,Hera,F,34,1970,2013,0.019592390633843423,0.0017850664793306575
63,Ladon,M,79,1930,2013,0.06387077592482239,0.0016562018069161714
64,Valkyrie,F,16,1992,2013,0.010816659738470916,0.0014841317772021376
65,Athene,F,22,1909,2003,0.011416357866032959,0.0014399926272377485
66,Mars,M,24,1923,2013,0.012551495103410587,0.0014308638389970811
67,Aphrodite,F,61,1915,2013,0.03665449859332233,0.001409273850923696
68,Ladon,F,41,1933,1992,0.019647531874317715,0.0013157164619583468
69,Deianeira,F,5,1995,2006,0.00275640503899597,0.001251587952214372
70,Helios,M,8,2000,2013,0.0035855661258072306,0.0010686803454188613
71,Min,M,35,1971,2013,0.01930674145605299,0.001035720444551929
72,Clete,M,34,1948,2013,0.014410871478165502,0.0009670088803648847
73,Areion,F,3,1998,2005,0.0017397565504122692,0.0009590800053257149
74,Nike,M,15,1989,2013,0.0053758765966578186,0.0009507656568655052
75,Cybele,F,13,1963,2010,0.008608195121546699,0.0009484617728410343
76,Min,F,28,1953,2007,0.013267098537306777,0.0009401224924306315
77,Hermes,M,46,1924,2013,0.02431773310653249,0.0009372965170612777
78,Fortuna,F,8,1915,1925,0.00510366185805428,0.0009248375291670637
79,Caliope,F,7,1919,2013,0.003438532782372297,0.000915987309412186
80,Eris,M,43,1916,2013,0.019889041560928005,0.0009122514456904785
81,Venus,M,14,1915,1982,0.007363057755012072,0.000845470532533706
82,Juno,M,12,1997,2013,0.005996554595091312,0.0008205623265355376
83,Ourania,F,15,1963,2013,0.006049718853213362,0.0008190645463815776
84,Poseidon,M,4,2010,2013,0.0025425229032266924,0.0008015102590641459
85,Janus,F,17,1936,1971,0.007473246699756456,0.0007970147811372504
86,Vesta,M,5,1914,1930,0.0029168832559687808,0.0007636432503100392
87,Clio,M,4,1914,1933,0.0027201816946033613,0.0007636432503100392
88,Mercury,M,13,1972,2012,0.004747690111234304,0.0007054823029764299
89,Artemis,M,11,1984,2013,0.004294305845090434,0.0006946422245222598
90,Tyr,M,11,2002,2013,0.005110632624200694,0.0006946422245222598
91,Areia,F,2,2011,2013,0.0009763493546005322,0.000690993475869932
92,Delia,M,11,1928,1986,0.004695131813491949,0.0006725001248928804
93,Chimera,F,6,1980,2001,0.002414171325463152,0.000658706695274498
94,Ceres,F,3,2005,2013,0.00135141639634772,0.0006334106862141044
95,Luna,M,3,1915,2010,0.001465257607105308,0.0005891974188439476
96,Anat,F,8,1967,1990,0.003004015581460324,0.000542230737253059
97,Holle,F,13,1953,1995,0.004370068433632829,0.0005259068277168676
98,Ares,F,3,2011,2013,0.001374410084256832,0.000518245106902449
99,Anubis,M,8,2002,2012,0.002824552243842912,0.0005155508170707124
100,Nike,F,18,1953,2013,0.006074796619136594,0.0005136678452490004
101,Vali,F,14,1952,1967,0.005284390313643253,0.0005115955693777309
102,Ra,M,11,1972,2013,0.0035331166165521303,0.0005096005559742066
103,Pallas,F,8,1969,2007,0.0031371937019818623,0.0005077482381136137
104,Kore,M,11,1977,2008,0.00357858989836927,0.000501349130510203
