,name,sex,year_count,year_min,year_max,pct_sum,pct_max
0,Casey,M,120,1888,2013,5.999303210352287,0.2109894385014155
1,Casey,F,71,1921,2013,4.294257960373131,0.20606359832732293
2,Unknown,F,118,1886,2013,0.56394768711766,0.03359934160391284
3,Unknown,M,131,1880,2013,0.6939195419948413,0.026962677256753238
4,Aron,M,134,1880,2013,1.3303478659880938,0.020925321653139706
5,Tangela,F,54,1956,2011,0.226490449204514,0.012276081529640907
6,Abra,F,52,1955,2012,0.050813612735239135,0.003892357744803852
7,Lucky,M,98,1912,2013,0.17164731193000723,0.0035673542494249495
8,Durant,M,48,1914,2013,0.024202938856201433,0.001832743800744094
9,Roselia,F,78,1908,2013,0.046633701750550684,0.0017947414076755108
10,Aron,F,26,1970,2004,0.02125950836504629,0.0014351685442367873
11,Thunder,M,28,1975,2013,0.017100338424899074,0.0009902667205232778
12,Lucky,F,51,1921,2013,0.025085470707763607,0.0009318742571886932
13,Windie,F,17,1961,1982,0.008653878414266675,0.0008918501362472594
14,Paras,M,32,1975,2011,0.013355576378708996,0.0007308395787635559
15,Kimori,F,9,2002,2011,0.0038042778964925837,0.0005830084827734243
16,Amaura,F,10,2000,2013,0.003863319748575252,0.0005758278965582766
17,Onix,M,25,1956,2013,0.009148354083578007,0.0005605632539575766
18,Eevee,F,2,2012,2013,0.0007445698797259499,0.00045665593144681154
19,Hassam,M,2,1994,2000,0.0006173119451814434,0.00036250215559317523
20,Kameil,F,2,2009,2012,0.0006153766013339304,0.0003424919485851087
21,Yadon,M,4,2010,2013,0.0011630958085821277,0.00031796974199935137
22,Lizardo,M,2,1970,2010,0.0005302713999253544,0.00026889020943858413
23,Sand,F,2,1958,1960,0.0004959209830162453,0.0002486530464473945
